,0,1,2,3,4
0,"Number of branch of specialized (Krishi, Co-operative etc) bank 2011",,,,
1,,,,,
2,Upazila,Number of branch,Number of employee,Number of savings A/C,Number of current A/C
3,Adarsha Sadar,3,36,6015,112
4,Barura,3,22,8396,74
5,Brahmanpara,3,18,5724,345
6,Burichang,3,20,6724,360
7,Chandina,6,39,14257,344
8,Chauddagram,7,56,15996,595
9,Comilla Sadar Dakshin,1,7,2797,40
10,Daudkandi,3,21,7621,161
11,Debidwar,2,14,12702,450
12,Homna,1,7,790,43
13,Laksam,3,23,12080,309
14,Monoharganj,3,15,17787,133
15,Meghna,1,5,7753,51
16,Muradnagar,1,20,16434,144
17,Nangalkot,3,20,5907,566
18,Titas,2,11,11856,95
19,Total,45,334,152839,3822
