,0,1,2,3,4,5,6
0,"Area, population and density by municipality 2011",,,,,,
1,,,,,,,
2, Upazila,Name of municipality,Area (In sq. km.),Population census-2011 - Male,Population census-2011 - Female,Population census-2011 - Both sex,Density per sq.km.
3,Fulchhari,-,0,0,0,0,0
4,Gaibandha Sadar,Gaibandha,11.29,33987,33846,67833,1349
5,Gobindaganj,Gobiandaganj,14.77,19362,19053,38415,1125
6,Palashbari,-,0,0,0,0,0
7,Sadullapur,-,0,0,0,0,0
8,Saghata,-,0,0,0,0,0
9,Sundarganj,Sundarganj,6.5,8559,8609,17168,1125
10,Total,,32.56,61908,61508,123416,1125
