,0,1,2,3,4,5,6,7,8
0,"Number of Government secondary school, teacher and student 2011",,,,,,,,
1,,,,,,,,,
2, Upazila,Number of  school,Number of teacher - Male,Number of teacher - Female,Number of teacher - Total,Number of student - Male,Number of student - Female,Number of student - Total,Students per teacher
3,Fulchhari,0,0,0,0,0,0,0,0
4,Gaibandha Sadar,2,64,23,87,1275,1326,2601,30
5,Gobindaganj,0,0,0,0,0,0,0,0
6,Palashbari,0,0,0,0,0,0,0,0
7,Sadullapur,0,0,0,0,0,0,0,0
8,Saghata,0,0,0,0,0,0,0,0
9,Sundarganj,2,20,2,22,242,230,472,21
10,Total,4,84,25,109,1517,1556,3073,28
