,0,1,2,3,4,5,6,7,8,9,10
0,Number of branch and accounts of Krishi and Co-operative bank 2011,,,,,,,,,,
1,,,,,,,,,,,
2, Upazila,Krishi bank Number of  branch,Krishi bank Account S.D,Krishi bank Account C.D,Krishi bank Account F.D,Krishi bank Account S.T.D,Co-operative bank Number of  branch,Co-operative bank Account S.D,Co-operative bank Account C.D,Co-operative bank Account F.D,Co-operative bank Account S.T.D
3,Harinakunda,2,2786,102,67,3,0,0,0,0,0
4,Jhenaidah Sadar,3,18532,177,198,9,0,0,0,0,0
5,Kaliganj,2,6071,270,270,0,0,0,0,0,0
6,Kotchandpur,1,97,0,99,3,0,0,0,0,0
7,Mahespur,2,24700,713,142,23,0,0,0,0,0
8,Shailkupa,4,7747,85,150,6,0,0,0,0,0
9,Total,14,59933,1347,926,44,0,0,0,0,0
