,0,1,2,3,4
0,Number of fisherman and production of fish in following year,,,,
1,(Production in metric tons),,,,
2, Upazila,2010-11 - Number,2010-11 - Production,2009-10. - Number,2009-10. - Production
3,Austagram,7300,3911,7250,281
4,Bajitpur,3200,4900,3000,4850
5,Bhairab,752,1210,752,1370
6,Hossainpur,550,3440,550,2985
7,Itna,20000,25000,18000,22000
8,Karimganj,1575,14400,1575,14200
9,Katiadi,1080,1995,1075,1994
10,Kishoreganj Sadar,2460,5481,2482,5310
11,Kuliar-char,810,1597,800,3117
12,Mithamain,1050,2624,1048,2623
13,Nikli,3775,5943,3720,5651
14,Pakundia,450,3233,452,3279
15,Tarail,3500,4044,3620,3880
16,Total,46502,77778,44324,71540
