,0,1,2,3,4,5,6
0,"Area and production of tomato, radish and bean 2009-10",,,,,,
1,(Area in acre and production in metric ton),,,,,,
2,Upazila Upazila Bhurungamari Char Rajibpur Chilmari Kurigram Sadar Nageshwari Phulbari Rajarhat Raumari Ulipur Total - Upazila,Tomato Area 25 25 24 25 21 25 20 9 35 209 - Pumpkin - Area,Tomato Production 40 80 33 25 42 112 33 5 109 478 - Pumpkin - Production,Radish Area 345 173 100 120 72 120 61 28 105 1124 - Parble (potol) - Area,Radish Production 1553 1050 500 330 253 324 189 62 367 4627 - Parble (potol) - Production,Bean Area 70 75 41 50 25 7 20 17 47 352 - Cabbage - Area,Bean Production 92 180 45 130 25 7 6 9 75 569 - Cabbage - Production
3,Bhurungamari,48,110,83,129,230,589
4,Char Rajibpur,80,288,35,135,65,330
5,Chilmari,38,65,12,13,13,59
6,Kurigram Sadar,45,108,60,54,35,38
7,Nageshwari,36,102,255,565,30,113
8,Phulbari,22,142,41,77,140,420
9,Rajarhat,60,252,24,38,26,204
10,Raumari,23,33,7,15,17,40
11,Ulipur,208,396,77,193,70,504
12,Total,560,1497,594,1218,626,2297
