,0,1,2,3,4,5,6
0,"Area, population and density by municipality 2011",,,,,,
1,,,,,,,
2, Upazila,Name of municipality,Area (In sq. km.),Population census-2011 - Male,Population census-2011 - Female,Population census-2011 - Both sex,Density per sq.km.
3,Baghaichhari,Baghaichhari,16.32,7304,6503,13807,846
4,Barkal,-,0,0,0,0,0
5,Belai Chhari,-,0,0,0,0,0
6,Jurai Chhari,-,0,0,0,0,0
7,Kaptai,-,0,0,0,0,0
8,Kawkhali,-,0,0,0,0,0
9,Langadu,-,0,0,0,0,0
10,Naniarchar,-,0,0,0,0,0
11,Rangamati Sadar,Rangamati,65.0,44925,39075,84000,1292
12,Rajasthali,-,0,0,0,0,0
13,Total,-,81.32,52229,45578,97807,1203
