,0,1,2,3,4,5,6
0,Area and production of potato by type 2009-10,,,,,,
1,(Area in acre and production in metric ton),,,,,,
2,Upazila Upazila Belkuchi Chauhali Kamarkhanda Kazipur Royganj Shahjadpur Sirajganj Sadar Tarash Ullahpara Total - Upazila,Potato Area 405 384 428 631 780 703 716 762 1165 5974 - Rape & mustard - Area,Potato Production 1120 2937 1141 2270 2346 1785 4280 2938 3813 22630 - Rape & mustard - Production,Sweet potato Area 76 100 33 741 0 27 18 0 210 1205 - Ground nut - Area,Sweet potato Production 275 410 61 2100 0 93 110 0 1113 4162 - Ground nut - Production,Total potato Area 480 484 461 1372 780 730 1012 762 1375 7456 - Til - Area,Total potato Production 1399 3347 1202 7370 2346 1878 6020 2938 4926 31426 - Til - Production
3,Belkuchi,4500,1183,76,29,520,211
4,Chauhali,2330,716,230,135,300,85
5,Kamarkhanda,2350,763,0,0,101,33
6,Kazipur,2149,653,2025,1476,741,210
7,Royganj,2964,1850,0,0,13,5
8,Shahjadpur,6658,3363,703,288,97,37
9,Sirajganj Sadar,912,301,2100,1530,1457,501
10,Tarash,18805,5961,0,0,0,0
11,Ullahpara,41050,15393,11,6,25,8
12,Total,81718,30183,5145,3464,3254,1091
