,0,1,2,3,4,5
0,Number of rice mill and person engaged 2011,,,,,
1,,,,,,
2,Upazila,Number of unit,Investment ( in lac taka),Person engaged Male,Person engaged Female,Person engaged Total
3,Bishwamvarpur,8,12,40,20,60
4,Chhatak,6,72,23,34,57
5,Dakshin Sunamganj,0,0,0,0,0
6,Derai,10,12,63,31,94
7,Dharmapasha,22,99,447,218,665
8,Doarabazar,35,63,40,10,50
9,Jagannathpur,6,42,27,13,40
10,Jamalganj,10,30,70,30,100
11,Shalla,0,0,0,0,0
12,Sunamganj Sadar,8,12,32,16,48
13,Tahirpur,12,40,60,50,110
14,Total,461,390,1078,557,1635
