,0,1,2,3,4,5,6
0,Area and production of oil seed by type 2010-11,,,,,,
1,(Area in acre and production in metric ton),,,,,,
2,Upazila,Rape & mustard,Rape & mustard,Ground nut,Ground nut,Til,Til
3,Upazila,Area,Production,Area,Production,Area,Production
4,Bagerhat Sadar,32,325,0,0,6,2
5,Kachua,0,0,0,0,0,0
6,Rampal,0,0,0,0,0,0
7,Sarankhola,39,21,0,0,0,0
8,Chitalmari,0,0,18,11,54,18
9,Morrelgonj,14,4,0,0,0,0
10,Mongla,0,0,0,0,0,0
11,Mollahat,910,332,10,10,630,208
12,Fakirhat,33,8,0,0,25,14
13,Total,1028,690,28,21,715,241
