,0,1,2,3,4,5,6,7,8
0,"Number of Non-government college, teacher and student 2011",,,,,,,,
1,,,,,,,,,
2,Upazila,Number of college,Number of teacher Male,Number of teacher Female,Number of teacher Total,Number of student Male,Number of student Female,Number of student Total,Students per teacher
3,Bhola Sadar,10,130,32,162,704,603,1307,8
4,Burhanuddin,4,89,22,111,1397,1189,2580,23
5,Char Fasson,8,212,49,261,3366,2246,5614,22
6,Daulatkhan,3,76,13,89,989,1074,2063,23
7,Lalmohan,4,111,16,127,923,773,1696,13
8,Manpura,2,44,2,46,43,329,760,17
9,Tazumuddin,1,34,9,43,288,242,530,12
10,Total,32,696,143,839,7710,6456,14550,17
