,0,1,2,3,4,5,6,7,8,9,10
0,Number of branch and accounts of Pubali and Uttara bank 2011,,,,,,,,,,
1,,,,,,,,,,,
2, Upazila/City corporation,Pubali bank,Pubali bank,Pubali bank,Pubali bank,Pubali bank,Uttara bank,Uttara bank,Uttara bank,Uttara bank,Uttara bank
3, Upazila/City corporation,Number of branch,Account,Account,Account,Account,Number of branch,Account,Account,Account,Account
4, Upazila/City corporation,Number of branch,S.D,C.D,F.D,S.T.D,Number of branch,S.D,C.D,F.D,S.T.D
5,Anowara,1,0,38,40,2,0,0,0,0,0
6,Banshkhali,1,5582,248,236,7,0,0,0,0,0
7,Boalkhali,0,0,0,0,0,0,0,0,0,0
8,Chandanaish,0,0,0,0,0,0,0,0,0,0
9,Chittagong City Corp.,11,7165,1136,764,473,3,3712,646,396,143
10,Fatikchhari,0,0,0,0,0,0,0,0,0,0
11,Hathazari,0,0,0,0,0,0,0,0,0,0
12,Lohagara,1,1567,153,43,8,1,986,23,110,6
13,Mirsharai,0,0,0,0,0,0,0,0,0,0
14,Patiya,0,0,0,0,0,0,0,0,0,0
15,Rangunia,0,0,0,0,0,0,0,0,0,0
16,Raozan,0,0,0,0,0,0,0,0,0,0
17,Sandwip,0,0,0,0,0,0,0,0,0,0
18,Satkania,0,0,0,0,0,0,0,0,0,0
19,Sitakunda,0,0,0,0,0,0,0,0,0,0
20,Total,14,14314,1575,1083,490,4,4698,669,506,149
