,0,1,2,3,4
0,Area and production at tobacco in following years,,,,
1,,,,,
2,(Area in acre and production in metric ton),(Area in acre and production in metric ton),(Area in acre and production in metric ton),(Area in acre and production in metric ton),(Area in acre and production in metric ton)
3, Upazila,Year,Year,Year,Year
4, Upazila,2010-11,2010-11,2009-10.,2009-10.
5, Upazila,Area,Production,Area,Production
6,Alamdanga,1342,1695,1800,1620
7,Chuadanga Sadar,332,149.4,307,138.15
8,Damurhuda,485,340,15,8
9,Jibonnagar,198,238,114,143
10,Total,2357,2422.4,2236,1909.15
