,0,1,2,3,4,5,6
0,Land area under irrigation for selected crops 2008,,,,,,
1,,,,,,,
2, Upazila,Paddy,Paddy,Wheat,Wheat,Potato,Potato
3, Upazila,Total area,Irrigated area,Total area,Irrigated area,Total area,Irrigated area
4,Fulchhari,16698,15735,577,577,188,188
5,Gaibandha Sadar,75734,40570,383,383,894,894
6,Gobindaganj,143761,89746,556,556,12467,12467
7,Palashbari,56234,34487,171,171,2855,2855
8,Sadullapur,65352,38520,583,583,3554,3554
9,Saghata,58258,37018,253,253,934,934
10,Sundarganj,88904,46946,2879,2879,1710,1710
11,Total,504941,303022,5402,5402,22602,22602
