,0,1,2,3,4,5,6,7,8
0,"Number of Government secondary school, teacher and student 2011",,,,,,,,
1,,,,,,,,,
2, Upazila,Number of  school,Number of teacher,Number of teacher,Number of teacher,Number of student,Number of student,Number of student,Students per teacher
3, Upazila,Number of  school,Male,Female,Total,Male,Female,Total,Students per teacher
4,Fulchhari,0,0,0,0,0,0,0,0
5,Gaibandha Sadar,2,64,23,87,1275,1326,2601,30
6,Gobindaganj,0,0,0,0,0,0,0,0
7,Palashbari,0,0,0,0,0,0,0,0
8,Sadullapur,0,0,0,0,0,0,0,0
9,Saghata,0,0,0,0,0,0,0,0
10,Sundarganj,2,20,2,22,242,230,472,21
11,Total,4,84,25,109,1517,1556,3073,28
