,0,1,2,3,4,5,6
0,Area and production of potato by type 2010-11,,,,,,
1,(Area in acre and production in metric ton),,,,,,
2,Upazila Upazila Akkelpur Joypurhat sadar Kalai Khetlal Panchbibi Total,Potato Area 10750 16808 29761 22766 10412 90497,Potato Production 82127 125912 307795 208132 51679 775645,Sweet potato Area 21 129 10 37 54 251,Sweet potato Production 80 532 42 157 24 836,Total potato Area 10771 16937 29771 22803 105 80387,Total potato Production 82207 126444 307837 208289 51703 776480
3, Upazila,Potato,Potato,Sweet potato,Sweet potato,Total potato,Total potato
4, Upazila,Area,Production,Area,Production,Area,Production
5,Akkelpur,8239,95894,19,71,8258,95965
6,Joypurhat sadar,13075,86790,127,467,13202,87257
7,Kalai,25595,237837,9.3,38,25604,237935
8,Khetlal,22560,185841,53,177,22613,186018
9,Panchbibi,10543,47114,51,21,1094,47136
10,Total,80012,653476,259,774,70771,654311
