,0,1,2,3,4,5,6
0,Number of branch of Grameen bank 2011,,,,,,
1,,,,,,,
2,Upazila,Number of branch,Number of employees,Number of members,Number of accounts,Annual deposit (in lac tk.),Annual credit disbursed (in lac tk.)
3,Dighinala,2,9,3822,4792,30.74,413.83
4,Khagrachhari Sadar,1,7,2476,2476,19.80,77.09
5,Laxshmichhari,1,4,988,116,2.50,10
6,Mahalchhari,1,4,3164,74,60.06,302.83
7,Manikchhari,2,11,3000,3000,759,300
8,Matiranga,5,29,10990,14012,1394.34,1050
9,Panchhari,1,8,3950,4399,1002,411.08
10,Ramgarh,1,5,1350,1560,14.85,235
11,Total,14,77,29740,30429,3283.29,2799.83
