,0,1,2,3,4
0,Number of Branch of Nationalized Commercial Bank 2011,,,,
1,,,,,
2,Upazila/city corporation,Number of branch,Number of employee,Number of savings A/C,Number of current A/C
3,Batiaghata,3,31,17548,566
4,Dacope,4,48,30620,1910
5,Dighalia,4,43,36283,658
6,Dumuria,5,44,46681,2798
7,Khulna City Corporation,39,945,135851,13485
8,Koyra,2,22,22356,1798
9,Paikgachha,7,126,37282,3969
10,Phultala,2,30,18582,997
11,Rupsa,4,38,25546,1149
12,Terokhada,3,27,26794,885
13,Total,73,1354,397543,28215
