,0,1,2,3,4,5,6
0,Daily average wage rate of construction labour 2011,,,,,,
1,,,,,,,
2,(Rate in taka),(Rate in taka),(Rate in taka),(Rate in taka),(Rate in taka),(Rate in taka),(Rate in taka)
3, Upazila,Labour,Labour,Labour,Labour,Labour,Labour
4, Upazila,Mason,Helper (Jogaly),Carpenter,Colour,Electric,Plumber
5,Bhaluka,350,250,350,300,410,380
6,Dhobaura,350,230,350,350,350,350
7,Fulbaria,400,300,450,400,500,450
8,Gaffargaon,500,300,500,400,600,500
9,Gauripur,300,220,250,300,290,280
10,Phulpur,450,280,450,450,400,500
11,Haluaghat,400,300,500,300,500,500
12,Ishwargonj,300,200,400,300,500,600
13,Muktagacha,350,250,400,400,400,400
14,Nandail,500,300,400,300,400,400
15,Mymensingh Sadar,400,300,400,400,500,500
16,Trishal,500,300,500,400,400,500
17,Average,400,269,413,358,438,447
