,0,1,2,3,4,5,6,7,8
0,"Number of registered primary school (class I-V), teacher and student 2011",,,,,,,,
1,,,,,,,,,
2, Upazila,Number of registered primary school,Number of teacher,Number of teacher,Number of teacher,Number of student,Number of student,Number of student,Students per teacher
3, Upazila,Number of registered primary school,Male,Female,Total,Male,Female,Total,Students per teacher
4,Bhandaria,54,106,90,196,2903,3102,6005,31
5,Kawkhali,9,15,15,30,489,597,1086,36
6,Mathbaria,84,98,138,336,5420,5380,10800,32
7,Nazirpur,75,115,135,250,4925,4871,9796,39
8,Nesarabad,49,71,95,166,4885,4090,8975,54
9,Pirojpur Sadar,37,75,69,144,3923,3924,7847,54
10,Zianagar,29,62,42,104,1786,1933,3719,36
11,Total,337,542,584,1226,24331,23897,48228,39
