,0,1,2,3,4,5,6
0,"Area and production of tomato, radish and bean by type 2009-10",,,,,,
1,(Area in acre and production in metric ton),,,,,,
2,Upazila,Tomato,Tomato,Radish,Radish,Beans,Beans
3,Upazila,Area,Production,Area,Production,Area,Production
4,Badarganj,110,621,165,577,61,189
5,Gangachara,110,160,182,346,38,56
6,Kaunia,27,31,63,247,18,18
7,Mithapukur,40,81,362,688,145,261
8,Pirgachha,26,57,120,297,76,152
9,Pirganj,115,345,154,615,60,40
10,Rangpur sadar,101,217,147,441,46,109
11,Taraganj,5,6,110,493,12,7
12,Total,534,1518,1303,3704,456,832
