,0,1,2,3,4,5
0,Number of employee by type 2011,,,,,
1,,,,,,
2,Upazila,Police personnel,Ansar personnel,VDP personnel,Autonomous bodies,Local govt. employee
3,Basail,31,324,6528,30,84
4,Bhuapur,50,512,9280,67,149
5,Delduar,30,355,10944,135,104
6,Dhanbari,31,292,10944,99,123
7,Ghatail,48,484,20433,59,260
8,Gopalpur,50,452,10432,31,11039
9,Kalihati,45,516,15540,89,298
10,Madhupur,40,324,13440,283,92
11,Mirzapur,168,682,14464,153,188
12,Nagarpur,33,516,6912,0,11
13,Sakhipur,41,388,8000,0,6
14,Tangail Sadar,63,757,15104,113,218
15,District Office,1593,11,0,101,109
16,Total,2223,5613,142021,1160,12681
