,0,1,2,3,4,5,6,7,8
0,Distribution of chemical fertilizer 2010-11,,,,,,,,
1,Bagerhat,,,,,,,,
2,(In metric ton),,,,,,,,
3,Upazila,UREA,TSP,MP,DAP,HP,NPK,SP,Others
4,Bagerhat Sadar,2885,900,448,158,0,95,0,84
5,Kachua,2119,530,349,150,0,95,0,38
6,Rampal,988,121,30,55,0,95,0,23
7,Sharonkhola,1582,505,314,55,0,93,0,15
8,Chitolmari,2618,655,538,195,0,95,0,105
9,Morrelgonj,2794,27,15,55,0,92,0,3
10,Mongla,576,27,15,55,0,92,0,3
11,Mollahat,2552,621,344,220,0,250,0,110
12,Fakirhat,2946,963,634,56,0,90,0,122
13,Total,19060,4349,2687,999,0,997,0,503
