,0,1,2,3,4,5,6
0,"Area, population and density by municipality 2011",,,,,,
1,Barisal,,,,,,
2,,,,,,,
3,Municipality,Name of Municipality,Area (sq. k.m.),Population Male,Population Female,Population Both sex,Density per sq.k.m.
4,Bakerganj,Bakerganj,6.25,7644,7774,15418,2467
5,Banaripara,Banaripara,2.71,5365,5001,10366,3825
6,Gaurnadi,Gaurnadi,16.33,21205,21233,42438,2599
7,Mehendiganj,Mehendiganj,14.97,14535,15532,30067,2009
8,Muladi,Moladi,16.68,10215,10275,20490,1228
9,Total,,56.03,58964,59815,118779,2120
