,0,1,2,3,4,5,6,7,8
0,"Number of Government college, teacher and student 2011",,,,,,,,
1,Barisal,,,,,,,,
2,,,,,,,,,
3,Upazila/city corporation,Number of college,Number of teacher Male,Number of teacher Female,Number of teacher Total,Number of student Male,Number of student Female,Number of student Total,Student per teacher
4,Agailjhara,0,0,0,0,0,0,0,0
5,Babuganj,0,0,0,0,0,0,0,0
6,Bakerganj,1,17,5,22,590,367,957,43
7,Banaripara,1,24,5,29,447,354,801,28
8,Barisal city corporation,4,205,74,279,17331,12653,29984,90
9,Barisal Sadar,0,0,0,0,0,0,0,0
10,Gaurnadi,1,16,5,21,3001,1600,4601,219
11,Hizla,0,0,0,0,0,0,0,0
12,Mehendiganj,0,0,0,0,0,0,0,0
13,Muladi,0,0,0,0,0,0,0,0
14,Wazirpur,0,0,0,0,0,0,0,0
15,Total,7,262,89,351,21369,14974,36343,104
