,0,1,2,3,4,5
0,"Name of land, river,  sea port, important or historical,  tourist places, objects, important,  famous crop or food ptoduction 2011",,,,,
1,Bhola,,,,,
2,,,,,,
3,Upazila,Name of - Land/River/Sea port,Name of important/historical/tourist places/objects,Name of important /famous crop or food production,Customer care service providers name of cell phone operators,Distance - between District - Head Quarter  upazila by road (km)
4,Bhola Sadar,0,0,Paddy,Grameen,0
5,Burhanuddin,0,0,Paddy,Raul Aop Grameen,25
6,Char Fasson,0,0,BatelNat,Md. Sohel,70
7,Daulatkhan,0,0,Paddy,Morzina Akter,28
8,Lalmohan,0,0,Paddy,Md. Rasel,48
9,Manpura,0,0,0,Bangla Link,105
10,Tazumuddin,0,0,Paddy,Grameen,47
