,0,1,2,3,4,5,6
0,"Area and production of jackfruit, banana and pineapple 2010-11",,,,,,
1,(Area in acre and production in metric ton),,,,,,
2, Upazila,Jackfruits - Area,Jackfruits - Production,Banana - Area,Banana - Production,Pineapple - Area,Pineapple - Production
3,Bhola Sadar,15,621,28,63,0,0
4,Burhanuddin,88,180,80,320,0,0
5,Char Fasson,17,603,33,74,0,0
6,Daulatkhan,19.91,258.09,38,144.4,0,0
7,Lalmohan,350,3877,1789,2831.66,4.3,9.13
8,Manpura,0.52,21.6,28,6.17,0,0
9,Tazumuddin,0,1640,54.5,110.2,2.7,9.6
10,Total,490`43,7200.69,2050.5,3549.43,7,18.73
