,0,1,2,3,4,5,6,7,8
0,"Number of agricultural  veterinary college, teacher and student 2011",,,,,,,,
1,Bhola,,,,,,,,
2,,,,,,,,,
3, Upazila,Number of  college,Number of teacher - Male,Number of teacher - Female,Number of teacher - Total,Number of student - Male,Number of student - Female,Number of student - Total,Students per teacher
4,Bhola Sadar,0,0,0,0,0,0,0,0
5,Burhanuddin,0,0,0,0,0,0,0,0
6,Char Fasson,1,12,2,14,203,20,223,16
7,Daulatkhan,0,0,0,0,0,0,0,0
8,Lalmohan,0,0,0,0,0,0,0,0
9,Manpura,0,0,0,0,0,0,0,0
10,Tazumuddin,0,0,0,0,0,0,0,0
11,Total,1,12,2,14,203,20,223,16
