,0,1,2,3,4,5,6
0,Area and production of rice crops 2010-11,,,,,,
1,Bogura,,,,,,
2,(Area in acre and production in metric ton),,,,,,
3,Upazila,Aus Area,Aus Production,Aman Area,Aman Production,Boro Area,Boro Production
4,Adamdighi,3423,2868,32007,28414,31129,50344
5,Bogra sadar,289,172,25640,23978,24953,40448
6,Dhunat,1462,1053,45000,51864,44250,82600
7,Dhupchanchia,333,295,30606,30709,32856,47814
8,Gabtali,382,240.66,41850,32545.39,44600,70745.77
9,Kahaloo,494,291,46655,48032,46722,66467
10,Nandigram,24107,20452,52000,38493,52095,75651
11,Sariakandi,4526,2596,19850,15923,25770,36079
12,Shajahanpur,1289,1082,34655,33613,34000,50895
13,Sherpur,15612,12333,47178,42290,43823,66198
14,Shibganj,2339,1791.67,50086,46830.41,53108,82582.94
15,Sonatola,1130,1012,24705,170978,27250,46930
16,Total,55386,44186.33,450232,563669.8,460556,716754.71
