,0,1,2,3,4,5
0,Cropped area sprayed with plant protection measures 2008,,,,,
1,Bogura,,,,,
2,,,,,,
3,Upazila,Total farm holding Number,Total farm holding Cropped area,Spraying farm holding Number,Spraying farm holding Cropped area,Reporting area sprayed
4,Adamdighi,25763,34043,1700,6000,2500
5,Bogra sadar,33587,29340,31993,24953,24953
6,Dhunat,47691,51020,42922,45918,35714
7,Dhupchanchia,26112,33765,26112,33765,33765
8,Gabtali,64511,49541,60115,48446,40105
9,Kahaloo,36337,30180,8420,220,125
10,Nandigram,43729,60378,32205,52508,52508
11,Sariakandi,38947,46260,38700,46000,46000
12,Shajahanpur,55805,28387,5805,387,387
13,Sherpur,39638,57357,39638,57357,57357
14,Shibganj,59315,58093,45185,55802,51609
15,Sonatola,30832,34763,29290,33025,17380
16,Total,502267,513127,362085,404381,362403
