,0,1,2,3,4,5
0,"Number of hat-bazar, growth centre, hotel  restaurant 2011",,,,,
1,Bogura,,,,,
2,,,,,,
3,Upazila,Daily bazar,Weekly hat,Growth centre,Restaurant,Hotel (residential)
4,Adamdighi,1,14,4,71,14
5,Bogra sadar,18,15,10,84,16
6,Dhunat,6,31,7,57,0
7,Gabtali,38,23,3,69,0
8,Dhupchanchia,8,14,3,32,0
9,Kahaloo,5,21,28,95,0
10,Nandigram,8,16,4,93,0
11,Sariakandi,18,13,4,900,1
12,Sherpur,2,16,2,125,4
13,Shibganj,18,19,5,155,8
14,Sonatola,17,10,3,70,0
15,Shajahanpur,26,23,4,31,2
16,Total,165,215,77,1782,45
