,0,1,2,3,4,5,6
0,"Number of private hospital, clinic and related health personnel 2011",,,,,,
1,Bogura,,,,,,
2,,,,,,,
3,Upazila,Number of centre,Number of bed,Number of doctor,Number of nurse,Number of technician,Number of other staff
4,Adamdighi,6,56,5,17,4,27
5,Bogra sadar,35,1160,239,359,24,593
6,Dhunat,1,10,3,3,2,3
7,Gabtali,0,0,0,0,0,0
8,Dhupchanchia,7,62,29,33,22,53
9,Kahaloo,0,0,0,0,0,0
10,Nandigram,2,20,9,12,3,13
11,Sariakandi,0,0,0,0,0,0
12,Sherpur,8,135,22,45,19,27
13,Shibganj,5,35,19,18,5,15
14,Sonatola,5,30,0,12,8,5
15,Shajahanpur,4,41,35,23,34,25
16,Total,73,1549,361,522,121,761
