,0,1,2,3,4
0,"Occurrence of storm during the years 2008-2011(Yes, No)",,,,
1,Chittagong,,,,
2,,,,,
3,Upazila/City corporation,2008,2009,2010,2011
4,Anowara,No,No,No,No
5,Banshkhali,No,No,No,No
6,Boalkhali,No,No,No,No
7,Chandanaish,No,No,No,No
8,Chittagong City Corporation,Yes,Yes,Yes,Yes
9,Fatikchhari,No,No,No,No
10,Hathazari,No,No,No,No
11,Lohagara,No,No,No,No
12,Mirsharai,No,Yes,No,No
13,Patiya,No,No,No,No
14,Rangunia,No,No,No,No
15,Raozan,No,No,No,No
16,Sandwip,No,No,No,No
17,Satkania,No,No,No,No
18,Sitakunda,No,No,No,No
