,0,1,2,3
0,Number of co-operative society 2011,,,
1,Comilla,,,
2,,,,
3,Upazila,Number,Number of employee,Number of client
4,Adarsha Sadar,458,2018,43852
5,Barura,267,936,11811
6,Brahmanpara,67,0,3713
7,Burichang,257,771,3443
8,Chandina,445,1290,26109
9,Chauddagram,196,21,7840
10,Comilla Sadar Dakshin,354,382,18453
11,Daudkandi,451,40,13061
12,Debidwar,187,58,4293
13,Homna,74,7,3613
14,Laksam,469,25,11377
15,Monoharganj,79,20,1258
16,Meghna,52,9,1477
17,Muradnagar,315,284,14531
18,Nangalkot,228,458,19201
19,Titas,45,24,2430
20,Total,3944,6343,190462
