,0,1,2,3
0,Number of deep tube-well scheme 2010-11,,,
1,Comilla,,,
2,,,,
3,Upazila,Number of deep tube-well - Commissioned,Number of deep tube-well - Operated,Area irrigated (In acre)
4,Adarsha Sadar,45,55,8838
5,Barura,0,154,6000
6,Brahmanpara,0,96,9287
7,Burichang,0,176,13375
8,Chandina,157,11,4838
9,Chauddagram,0,210,23460
10,Comilla Sadar Dakshin,287,287,15067
11,Daudkandi,9,150,10500
12,Debidwar,123,94,10349
13,Homna,0,1,60
14,Laksam,66,66,4197
15,Monoharganj,0,16,1280
16,Meghna,0,0,0
17,Muradnagar,0,146,12308
18,Nangalkot,0,65,4147
19,Titas,0,6,545
20,Total,687,1533,124251
