,0,1,2,3,4
0,Area and production at tobacco in following years,,,,
1,Coxs_Bazar,,,,
2,,,,,
3,(Area in acre and production in metric ton) - Upazila,(Area in acre and production in metric ton) - 2010-11 - Area,(Area in acre and production in metric ton) - 2010-11 - Production,(Area in acre and production in metric ton) - 2009-10 - Area,(Area in acre and production in metric ton) - 2009-10 - Production
4,Chakaria,120,192,120,192
5,Cox's Bazar Sadar,183,107,183,107
6,Kutubdia,0,0,0,0
7,Moheshkhali,0,0,0,0
8,Pekua,0,0,0,0
9,Ramu,0,0,0,0
10,Teknaf,0,0,0,0
11,Ukhia,0,0,0,0
12,Total,303,299,303,299
