,0,1,2,3,4,5
0,"Number of non-registered rickshaw, van, easy bike and auto-rickshaw 2011",,,,,
1,,,,,,
2,Upazila,Rickshaw,Van,Easy bike and auto-rickshaw,Tempo,Nochimon/korimon/ bhotvoti
3,Alfadanga,2,450,150,0,130
4,Bhanga,260,1050,621,195,350
5,Boalmari,60,1525,0,0,255
6,Charbhadrashon,223,193,50,43,47
7,Faridpur Sadar,2112,1149,4936,0,112
8,Madhukhali,125,1370,103,56,460
9,Nagarkanda,25,2315,192,293,176
10,Sadarpur,67,282,32,15,42
11,Saltha,10,1910,138,185,159
12,Total,2884,10244,6222,787,1731
