,0,1,2,3,4,5,6,7,8,9,10,11
0,"Number of person, institute borrowing money from private commercial bank 2011",,,,,,,,,,,
1,,,,,,,,,,,,
2,  Upazila,Number of branch of all private commercial bank,Number of borrower - Agriculture debt - Male,Number of borrower - Agriculture debt - Female,Number of borrower - Industry debt - Male,Number of borrower - Industry debt - Female,Number of borrower - Other debt - Male,Number of borrower - Other debt - Female,Number of borrower - Male,Number of borrower - Female,Number of borrower - Total debt (crore tk) - Male,Number of borrower - Total debt (crore tk) - Female
3,Chhagalnaiya,8,1184,7580,0,0,1310,5062,2494,12642,18,15
4,Daganbhuiyan,8,0,0,7,8,445,65,452,73,68,3
5,Feni Sadar,9,0,0,140,0,2960,0,3100,0,12,0
6,Fulgazi,2,0,0,62,0,15,0,77,0,4,0
7,Parshuram,1,286,421,0,0,98,0,384,421,7,1
8,Sonagazi,6,1124,0,0,0,1993,0,3117,0,18,0
9,Total,34,2594,8001,209,8,6821,5127,9624,13136,127,18
