,0,1,2,3,4,5,6,7,8
0,"Number of growth centre, hat , bazar, poultry farm, dairy farm, nursery, horticulture centre, brick kiln, decorator service 2011",,,,,,,,
1,,,,,,,,,
2,Upazila,Growth centre,Hat /bazar,Poultry farm,Dairy farm,Nursery,Horticulture centre,Brick kiln,Decorator service
3,Fulchhari,7,35,63,42,10,0,0,17
4,Gaibandha Sadar,5,28,2641,68,26,0,7,41
5,Gobindaganj,7,21,158,101,15,0,19,72
6,Palashbari,5,14,65,52,17,0,28,37
7,Sadullapur,6,36,133,70,41,6,12,50
8,Saghata,7,16,81,38,5,0,5,28
9,Sundarganj,4,102,262,110,20,0,9,49
10,Total,41,252,3403,481,134,6,80,294
