,0,1,2,3,4,5,6
0,"Area and production of mango, litchi and blackberry 2009-10",,,,,,
1,Gaibandha,,,,,,
2,(Area in acre and production in metric ton),,,,,,
3,Upazila,Mango Area,Mango Production,Litchi Area,Litchi Production,Blackberry Area,Blackberry Production
4,Fulchhari,33,541,8,42,7,68
5,Gaibandha Sadar,277,1800,12,54,5,29
6,Gobindaganj,4,2,0,0,0,0
7,Palashbari,310,1220,6,7,9,12
8,Sadullapur,69,879,3,47,3,46
9,Saghata,14,480,1,15,1,34
10,Sundarganj,0,2832,0,146,0,88
11,Total,707,7755,30,311,26,277
