,0,1,2,3,4,5,6
0,Area and production of rice crops 2010-11,,,,,,
1,Habiganj,,,,,,
2,(Area in acre and production in metric ton),,,,,,
3, Upazila,Aus - Area,Aus - Production,Aman - Area,Aman - Production,Boro - Area,Boro - Production
4,Azmirigonj,0,0,11683,7846,38730,68878
5,Bahubal,17950,16440,44194,21593,17615,22577
6,Baniachang,0,0,25317,2500,80151,120120
7,Chunarughat,38000,40000,44000,43035,18825,24375
8,Habiganj Sadar,12240,14343,31500,44390,23700,40460
9,Lakhai,896,470,18197,11386,29910,55044
10,Madhabpur,12011,8852,38307,31659,26208,38184
11,Nabiganj,1580,1682,25230,32700,42285,67342
12,Total,82677,81788,238428,195109,277424,436979
