,0,1,2,3,4,5,6,7
0,Average price of selected item 2011,,,,,,,
1,Jamalpur,,,,,,,
2,"(Price unit per kg, taka)",,,,,,,
3,Upazila,Fine rice (minicate),Medium rice,Coarse rice (normal),Wheat,Coarse flour (Aata),Potato,Soyabean oil
4,Bakshiganj,35,31,29,18,27,10,125
5,Dewanganj,40,32,28,15,17,10,125
6,Islampur,45,32,28,35,40,15,100
7,Jamalpur Sadar,49,35,29,27,30,14,120
8,Madarganj,45,30,25,21,28,12,138
9,Melandaha,34,32,31,0,23,20,120
10,Sarishabari,45,35,32,20,30,10,130
11,Average,42,32,29,19,28,13,123
