,0,1,2,3,4,5,6,7,8,9,10
0,"Number of primary school (Class I-V), teacher and student by municipality 2011",,,,,,,,,,
1,Jessore,,,,,,,,,,
2,,,,,,,,,,,
3, Municipality,Primary school - Govt.,Primary school - Non- govt.,Primary school - Total,Number of teacher - Govt.,Number of teacher - Non- govt.,Number of teacher - Total,Number of student - Govt.,Number of student - Non- govt.,Number of student - Total,Students per teacher
4,Noapara,11,10,21,77,40,117,2310,1173,3483,30
5,Bagherpara,2,1,3,15,4,19,414,136,550,29
6,Chaugachha,3,3,6,26,12,38,1142,478,1620,43
7,Jessore,28,6,34,195,31,296,4103,4192,8295,28
8,Jhikargachha,5,3,8,52,12,64,274,693,2767,43
9,Keshabpur,3,4,7,22,16,38,907,536,1443,38
10,Manirampur,5,7,12,32,28,60,1522,1427,2949,49
11,Benapole,5,2,7,29,9,38,1937,487,2424,64
12,Total,62,36,98,448,152,670,12609,9122,23531,35
