,0,1,2,3,4,5,6,7
0,"Number of health centre, providing health and family planning service 2011",,,,,,,
1,Jhenaidah,,,,,,,
2,,,,,,,,
3, Upazila,Number of union health centre,Health service, Sterilization, M.R.,Injection/ copper-T,Oral pill/ condom,Number of immunization centre
4,Harinakunda,7,23021,12,9,9141,9852,77
5,Jhenaidah Sadar,15,68852,21,17,17582,17825,165
6,Kaliganj,11,44541,15,11,11452,11245,121
7,Kotchandpur,5,17547,12,5,17854,14525,55
8,Mahespur,12,48587,44,12,12546,12548,132
9,Shailkupa,14,53412,25,14,14852,18541,154
10,Total,64,255960,129,68,83427,84536,704
