,0,1,2,3,4
0,Broad classification of area 2011,,,,
1,(In Sq. k.m.),,,,
2,Upazila,Total area,Land area,Reserve forest,River area
3,Austagram,355.53,338.84,0,16.69
4,Bajitpur,193.76,184.44,0,9.32
5,Bhairab,139.32,121.52,0,17.8
6,Hossainpur,121.29,119.46,0,1.83
7,Itna,401.93,386.74,0,15.19
8,Karimganj,200.5,199.45,0,1.05
9,Katiadi,219.21,218.33,0,0.88
10,Kishoreganj Sadar,193.72,192.34,0,1.38
11,Kuliar-char,104.01,103.15,0,0.86
12,Mithamain,180.53,145.77,0,34.76
13,Nikli,214.39,194.58,0,19.81
14,Pakundia,180.3,179.96,0,0.34
15,Tarail,141.43,140.33,0,1.1
16,Total,2688.54,2567.53,0,121.01
