,0,1,2,3,4,5,6
0,"Number of bridge, baily bridge, culvert and shako, etc. 2011",,,,,,
1,Kishoreganj,,,,,,
2,,,,,,,
3,Upazila,Bridge,Bailey bridge,Culvert,Pool,Shako,Others
4,Austagram,17,0,96,0,0,0
5,Bajitpur,90,2,139,0,0,0
6,Bhairab,188,1,7,21,1,0
7,Hossainpur,10,1,50,0,0,0
8,Itna,3,0,35,20,10,5
9,Karimganj,5,0,115,11,7,0
10,Katiadi,150,0,195,72,40,30
11,Kishoreganj Sadar,43,1,639,112,83,26
12,Kuliar-char,1,3,165,0,0,0
13,Mithamain,1,0,10,0,15,3
14,Nikli,20,0,65,0,0,35
15,Pakundia,85,0,771,0,0,10
16,Tarail,272,1,2,12,1,0
17,Total,885,9,2289,248,157,109
