,0,1,2,3,4,5,6,7,8,9,10
0,Number of Non-government health complex  health facility 2011,,,,,,,,,,
1,Kishoreganj,,,,,,,,,,
2,,,,,,,,,,,
3,  Upazila, Number of Hospital/ Clinic/ nursing home, Number of bed, Number of doctor, Number of nurse, Number of technician, Number of other staff,Number of patient under health facility - Indoor - Male,Number of patient under health facility - Indoor - Female,Number of patient under health facility - Outdoor - Male,Number of patient under health facility - Outdoor - Female
4,Katiadi,0,0,0,0,0,0,0,0,0,0
5,Hossainpur,0,0,0,0,0,0,0,0,0,0
6,Bajitpur,1,390,152,215,61,403,33110,33311,134670,134670
7,Itna,0,0,0,0,0,0,0,0,0,0
8,Kuliar-char,0,0,0,0,0,0,0,0,0,0
9,Mithamain,0,0,0,0,0,0,0,0,0,0
10,Pakundia,1,20,3,3,2,5,1250,1502,2050,1850
11,Tarail,0,0,0,0,0,0,0,0,0,0
12,Nikli,0,0,0,0,0,0,0,0,0,0
13,Kishoreganj Sadar,11,300,23,34,22,32,5737,8663,0,0
14,Austagram,2,10,4,3,2,17,236,342,2678,3214
15,Karimganj,7,0,0,14,7,45,1230,1470,18600,14570
16,Bhairab,8,169,78,28,21,284,2050,16530,0,0
17,Total,30,889,260,297,115,786,43613,61818,157998,154304
