,0,1,2,3,4,5,6
0,Land utilization (temporary cropped area) 2008,,,,,,
1,Lalmonirhat,,,,,,
2,,,,,,,
3, Upazila,Current fallow,Temporary cropped area - Single,Temporary cropped area - Double,Temporary cropped area - Triple,Temporary cropped area - Net,Temporary cropped area - Gross
4,Aditmari,277,1760,28748,1789,32297,64623
5,Hatibandha,259,2020,37766,8745,48531,103787
6,Kaligonj,76,2060,30340,7840,40240,86260
7,Lalmonirhat Sadar,533,1784,29941,7770,39495,84976
8,Patgram,277,6250,33803,9740,49793,103076
9,Total,1422,13874,160598,35884,210356,442722
