,0,1,2,3,4,5,6,7,8
0,"Number of Government primary school (class I-V), teacher and student 2011",,,,,,,,
1,Narsingdi,,,,,,,,
2,,,,,,,,,
3, Upazila,Number of Government primary school,Number of teacher - Male,Number of teacher - Female,Number of teacher - Total,Number of student - Male,Number of student - Female,Number of student - Total,Students per teacher
4,Belabo,62,141,251,392,10186,11243,21429,55
5,Manohardi,102,326,352,678,12022,13017,25039,36
6,Narsingdi Sadar,106,229,450,679,27785,27946,55731,82
7,Palash,89,87,231,318,7728,8507,16235,52
8,Roypura,147,283,618,901,29508,32849,62357,69
9,Shibpur,113,242,519,761,15718,16896,32614,43
10,Total,619,1308,2421,3729,102947,110458,213405,57
