,0,1,2,3,4,5,6,7,8
0,"Number of college, teacher and student by municipality 2011",,,,,,,,
1,Natore,,,,,,,,
2,,,,,,,,,
3, Municipality,Number of  college,Number of teacher - Male,Number of teacher - Female,Number of teacher - Total,Number of student - Male,Number of student - Female,Number of student - Total,Students per teacher
4,Bagatipara,4,97,29,126,1460,1082,2542,20
5,Baraigram,5,116,54,215,2398,2797,5195,24
6,Gurudaspur,2,118,12,130,718,521,1239,10
7,Lalpur,2,40,10,50,424,666,1090,22
8,Natore Sadar,10,123,68,191,30301,23512,30902,162
9,Singra,1,10,3,13,915,362,1277,98
10,Total,24,504,176,725,36216,28940,42245,58
