,0,1,2,3,4,5,6,7
0,"Number of household, population and density 2011",,,,,,,
1,Natore,,,,,,,
2,,,,,,,,
3, Upazila, Household,Population (000) - Male,Population (000) - Female,Population (000) - Total, Sex ratio (M/F),Average size of household, Density per sq. km.
4,Bagatipara,33383,65,66,131,99,3.89,937
5,Baraigram,70104,139,141,280,98,3.98,933
6,Gurudaspur,54977,108,107,215,100,3.89,1057
7,Lalpur,66417,138,136,274,102,4.13,837
8,Natore Sadar,110203,222,221,442,101,3.98,1103
9,Singra,88791,183,182,364,100,4.09,689
10,Total,423875,854,852,1707,100,4.01,898
