,0,1,2,3,4,5,6
0,"Area and production of wheat, jute and sugarcane 2009-10",,,,,,
1,(Area in acre and production in metric ton),,,,,,
2, Upazila,Wheat - Area,Wheat - Production,Jute - Area,Jute - Production,Sugarcane - Area,Sugarcane - Production
3,Dimla,4770,3287,4793,3245,28,333
4,Domar,1325,1092,7497,4817,35,173
5,Jaldhaka,697,582,965,808,95,315
6,Kishorgonj,370,328,4376,3400,312,9828
7,Nilphamary Sadar,3250,2720,5410,4180,13,82
8,Sayedpur,1223,1058,3190,2734,52,1352
9,Total,11635,9067,26231,19184,535,12083
