,0,1,2,3,4,5,6
0,Area and production of oil seed by type 2009-10,,,,,,
1,(Area in acre and production in metric ton),,,,,,
2,Upazila,Rape & mustard - Area,Rape & mustard - Production,Ground nut - Area,Ground nut - Production,Til - Area,Til - Production
3,Begumganj,0,0,0,0,0,0
4,Chatkhil,0,0,0,0,0,0
5,Companiganj,6,2,425,227,24,10
6,Hatiya,0,0,6469,3902,8,6
7,Kabirhat,8,1,171,86,0,0
8,Noakhali Sadar,14,4,4258,2525,0,0
9,Senbagh,0,0,0,0,4,1
10,Sonaimuri,0,0,0,0,0,0
11,Subarnachar,14,1,2500,906,0,0
12,Total,42,8,13823,7646,36,17
