,0,1,2,3,4,5,6
0,"Area and production of pumpkin, parble (potol) and cabbage 2010-11",,,,,,
1,(Area in acre and production in metric ton),,,,,,
2,Upazila,Pumpkin - Area,Pumpkin - Production,Parble (potol) - Area,Parble (potol) - Production,Cabbage - Area,Cabbage - Production
3,Begumganj,21,28,0,0,3,6
4,Chatkhil,50,225,0,0,13,20
5,Companiganj,418,1060,0,0,196,419
6,Hatiya,158,207,0,0,120,244
7,Kabirhat,405,1012,0,0,52,120
8,Noakhali Sadar,208,1668,0,0,177,2478
9,Senbagh,64,248,0,0,11,29
10,Sonaimuri,22,47,0,0,2,10
11,Subarnachar,208,499,0,0,103,282
12,Total,1554,4994,0,0,481,3608
