,0,1,2,3,4,5,6,7,8
0,"Number of Government college, teacher and student 2011",,,,,,,,
1,Noakhali,,,,,,,,
2,,,,,,,,,
3,Upazila,Number of college,Number of teacher - Male,Number of teacher - Female,Number of teacher - Total,Number of student - Male,Number of student - Female,Number of student - Total,Students per teacher
4,Begumganj,1,44,11,55,3188,1878,5066,92
5,Chatkhil,1,17,2,19,745,410,1155,61
6,Companiganj,1,13,0,13,766,615,1381,106
7,Hatiya,1,18,2,20,779,289,1068,53
8,Kabirhat,1,11,1,12,926,855,1781,148
9,Noakhali Sadar,2,82,12,94,8138,5806,13944,148
10,Senbagh,1,11,0,11,601,742,1343,122
11,Sonaimuri,0,0,0,0,0,0,0,0
12,Subarnachar,0,0,0,0,0,0,0,0
13,Total,8,196,28,224,15143,10595,25738,144
