,0,1,2,3,4,5,6,7,8
0,"Number of Non government college, teacher and student 2011",,,,,,,,
1,Noakhali,,,,,,,,
2,,,,,,,,,
3,Upazila,Number of college,Number of teacher - Male,Number of teacher - Female,Number of teacher - Total,Number of student - Male,Number of student - Female,Number of student - Total,Students per teacher
4,Begumganj,2,40,9,49,1417,1269,2686,55
5,Chatkhil,3,48,16,64,345,967,1312,21
6,Companiganj,2,31,5,36,343,259,602,17
7,Hatiya,3,49,7,53,485,801,1286,24
8,Kabirhat,1,13,5,18,175,226,401,22
9,Noakhali Sadar,6,114,9,123,2831,2022,4853,39
10,Senbagh,2,28,5,33,282,492,774,23
11,Sonaimuri,4,68,20,88,1268,1331,2599,30
12,Subarnachar,3,58,14,72,1122,797,1919,27
13,Total,26,449,90,536,8268,8164,16432,31
