,0,1,2,3,4,5,6,7,8
0,"Number of filling station, fire brigade station, police station, camp, union land (tohsil) office, BOP (BGB camp), cyber cafe 2011",,,,,,,,
1,Patuakhali,,,,,,,,
2,,,,,,,,,
3,Upazila,Filling station,Fire brigade station,Police station/ camp,Union land (tohsil) office,Sub- registry office,BOP (BGB camp),ISP provider,Cyber cafe
4,Bauphal,0,1,3,6,1,0,0,0
5,Dashmina,2,0,1,6,1,0,0,0
6,Dumki,0,0,1,1,1,0,1,0
7,Galachipa,0,0,2,17,1,0,10,10
8,Kalapara,1,1,3,9,1,0,1,0
9,Mirzaganj,0,0,2,6,1,0,0,0
10,Patuakhali Sadar,4,1,1,4,1,0,0,0
11,Total,7,3,13,49,7,0,12,10
