,0,1,2,3,4,5,6
0,Area and production of oil seed by type 2010-11,,,,,,
1,(Area in acre and production in metric ton),,,,,,
2,Upazila,Rape  mustard - Area,Rape  mustard - Production,Ground nut - Area,Ground nut - Production,Til - Area,Til - Production
3,Bauphal,95,23,352,139,382,84
4,Dashmina,42,14,1050,672,1512,423
5,Dumki,18,3,8,2,0,0
6,Galachipa,125,40,15000,7287,15125,7327
7,Kalapara,0,0,280,140,39,8
8,Mirzaganj,0,0,24,9,12,1
9,Patuakhali Sadar,28,5,82,50,127,24
10,Total,308,85,16796,8300,17197,7867
