,0,1,2,3,4,5,6,7
0,"Number of pond, dighee, flood camps, shelter, cyclone shelter, stadium,  playground, park,  amusement park 2011",,,,,,,
1,Pirojpur,,,,,,,
2,,,,,,,,
3,Upazila, Pond, Dighee, River flow,Flood camp/ shelter,Cyclone shelter,Stadium/ playground,Park/ amusement park
4,Bhandaria,5029,21,2,0,42,15,0
5,Kawkhali,1580,6,1,0,6,1,0
6,Mathbaria,7900,40,2,33,33,16,0
7,Nazirpur,9001,0,5,0,14,70,0
8,Nesarabad,6533,0,2,1,21,53,0
9,Pirojpur Sadar,6612,0,3,0,17,39,1
10,Zianagar,3725,0,3,0,10,12,0
11,Total,40380,67,18,34,143,206,1
