,0,1,2,3,4,5,6,7,8,9,10
0,Number of Government health complex & health facility 2011,,,,,,,,,,
1,,,,,,,,,,,
2,  Upazila,Number of hospital/ clinic/ nursing home, Number of bed, Number of  doctor, Number of nurse, Number of technician, Number of other staff,Number of patient under health facilities 201 - Indoor - Male,Number of patient under health facilities 201 - Indoor - Female,Number of patient under health facilities 201 - Outdoor - Male,Number of patient under health facilities 201 - Outdoor - Female
3,Badarganj,1,50,18,10,4,75,2473,5088,27152,33186
4,Gangachara,1,50,30,16,6,130,2280,2786,19126,21160
5,Kaunia,2,62,18,9,3,60,1368,1923,47196,57483
6,Mithapukur,1,50,23,14,25,83,115,165,11630,12850
7,Pirgachha,1,31,5,9,5,81,1200,1849,25000,30252
8,Pirganj,1,31,21,14,4,105,112,4126,767,9818
9,Rangpur sadar,2,1020,215,323,26,635,36536,31381,153330,164476
10,Taraganj,1,31,7,8,4,58,1000,1250,15150,29900
11,Total,10,1325,337,403,77,1227,45084,48568,299351,359125
