,0,1,2,3,4,5,6,7
0,Number of technical personnel 2011,,,,,,,
1,Rangpur,,,,,,,
2,,,,,,,,
3,Upazila,Agricultural personnel,Live-stock personnel,Plant protection,Fishery personnel,Sanitary personnel,Family planning personnel,Trained Midwive
4,Badarganj,56500,109,15,492,310,77,4
5,Gangachara,62,7,2,2,7,64,4
6,Kaunia,37230,33,0,126,10,51,2
7,Mithapukur,51,66,0,4,1,120,110
8,Pirgachha,125950,110,15030,16124,450,71,24
9,Pirganj,40,45,450,3180,45,200,55
10,Rangpur Sadar,795,115,241,295,180,623,95
11,Taraganj,262,25,0,550,148,24,22
12,Total,220890,510,15738,20773,1151,1230,316
