,0,1,2,3,4,5,6
0,Area and production of rice crops 2009-2010,,,,,,
1,(Area in acre and production in metric ton),,,,,,
2, Upazila,Aus Area,Aus Production,Aman Area,Aman Production,Boro Area,Boro Production
3,Assasuni,96,83,29593,27156,16115,20182
4,Debhata,692,643,16925,18278,16857,25830
5,Kalaroa,1250,1200,30460,24368,28450,40345
6,Kaliganj,5150,5000,42833,42737,12197,18449
7,Satkhira Sadar,1720,1801,51802,48335,59005,93201
8,Shyamnagar,119,94,21935,16949,3039,3505
9,Tala,2850,2081,13971,11503,41550,61208
10,Total,11877,10902,207519,189326,177213,262720
