,0,1,2,3,4,5,6,7,8
0,"Number of agricultural and veterinary college, teacher and student 2011",,,,,,,,
1,,,,,,,,,
2, Upazila,Number of college,Number of teacher Male,Number of teacher Female,Number of teacher Total,Number of student Male,Number of student Female,Number of student Total,Students per teacher
3,Assasuni,0,0,0,0,0,0,0,0
4,Debhata,0,0,0,0,0,0,0,0
5,Kalaroa,1,4,3,7,57,31,88,13
6,Kaliganj,0,0,0,0,0,0,0,0
7,Satkhira Sadar,0,0,0,0,0,0,0,0
8,Shyamnagar,0,0,0,0,0,0,0,0
9,Tala,0,0,0,0,0,0,0,0
10,Total,1,4,3,7,57,31,88,13
