,0,1,2,3,4,5,6,7
0,"Number of household, population and density 2011",,,,,,,
1,Sirajganj,,,,,,,
2,,,,,,,,
3,Upazila,Household,Population (000) - Male,Population (000) - Female,Population (000) - Total,Sex ratio (M/F),Average size of household,Density per sq. km.
4,Belkuchi,74450,180,173,353,104,4.72,2221
5,Chauhali,39832,80,80,160,101,4.01,761
6,Kamarkhanda,31961,68,70,138,97,4.33,1527
7,Kazipur,69664,135,140,275,97,3.94,835
8,Royganj,77198,159,159,318,100,4.10,1223
9,Shahjadpur,123576,283,278,561,102,4.53,1731
10,Sirajganj Sadar,125485,279,276,555,101,4.38,1734
11,Tarash,48941,98,100,198,98,4.02,657
12,Ullahpara,123864,269,270,539,100,4.35,1320
13,Total,714971,1551,1546,3097,100,4.31,1290
